Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
South Africa,4,2,4,7,2,7,10,17,18,24,95
Egypt,4,0,4,2,2,2,5,4,1,10,34
Algeria,1,2,2,1,0,3,0,2,4,2,17
Tunisia,0,0,0,0,1,0,1,3,3,6,14
Nigeria,0,0,0,0,0,0,0,2,3,5,10
Libya,0,0,0,0,0,0,0,2,2,6,10
Kenya,0,0,0,0,0,3,0,2,2,2,9
Morocco,1,0,0,0,0,0,1,0,0,5,7
Cameroon,0,0,0,0,0,0,0,1,3,1,5
Ghana,0,0,0,0,0,3,0,0,0,1,4
Ethiopia,0,0,0,0,0,0,0,0,2,2,4
Uganda,0,0,0,0,0,0,0,1,0,1,2
Burkina Faso,0,0,0,0,0,0,0,0,1,0,1
Rwanda,0,0,0,0,0,0,0,1,0,0,1
Mozambique,0,0,0,0,0,0,0,0,0,1,1
Benin,0,0,0,0,0,0,0,0,0,1,1
Tanzania,0,0,0,0,0,0,1,0,0,0,1
Madagascar,0,0,0,0,0,0,1,0,0,0,1
Sudan,0,0,0,0,0,0,0,0,1,0,1
Zambia,0,0,0,0,0,0,0,0,1,0,1
